gmaps_link,name,source,xmax,xmin,ymax,ymin,lon_min,lat_min,lon_max,lat_max
"https://www.google.com/maps/@-4.320357527444426,-45.33500794907466,5000m/data=!3m1!1e3",im_0000000000-0000163072_8_ndwi,s2_4bands_2017_CplusMG_int16_0000000000-0000163072.tif,22841,22341,19156,18656,-45.35746583117764,-4.3428154095474145,-45.31255006697167,-4.297899645341438
"https://www.google.com/maps/@-3.783703976711424,-45.164687371205595,5000m/data=!3m1!1e3",im_0000000000-0000163072_19_ndwi,s2_4bands_2017_CplusMG_int16_0000000000-0000163072.tif,16867,16367,21052,20552,-45.187145253308586,-3.8061618588144124,-45.142229489102604,-3.7612460946084365
"https://www.google.com/maps/@-3.689919861049346,-45.38468478428646,5000m/data=!3m1!1e3",im_0000000000-0000163072_24_ndwi,s2_4bands_2017_CplusMG_int16_0000000000-0000163072.tif,15823,15323,18603,18103,-45.407142666389454,-3.7123777431523344,-45.36222690218348,-3.667461978946358
"https://www.google.com/maps/@-3.7722055410746944,-45.298446517010994,5000m/data=!3m1!1e3",im_0000000000-0000163072_25_ndwi,s2_4bands_2017_CplusMG_int16_0000000000-0000163072.tif,16739,16239,19563,19063,-45.32090439911398,-3.794663423177682,-45.275988634908,-3.7497476589717063
"https://www.google.com/maps/@-4.321345674256958,-45.736375218019255,5000m/data=!3m1!1e3",im_0000000000-0000163072_30_ndwi,s2_4bands_2017_CplusMG_int16_0000000000-0000163072.tif,22852,22352,14688,14188,-45.758833100122246,-4.343803556359946,-45.71391733591627,-4.29888779215397
"https://www.google.com/maps/@-4.083920944664168,-45.273832678226114,5000m/data=!3m1!1e3",im_0000000000-0000163072_33_ndwi,s2_4bands_2017_CplusMG_int16_0000000000-0000163072.tif,20209,19709,19837,19337,-45.296290560329105,-4.106378826767156,-45.25137479612313,-4.06146306256118
"https://www.google.com/maps/@-3.9967843621045747,-45.16953827373984,5000m/data=!3m1!1e3",im_0000000000-0000163072_49_ndwi,s2_4bands_2017_CplusMG_int16_0000000000-0000163072.tif,19239,18739,20998,20498,-45.19199615584283,-4.019242244207563,-45.147080391636855,-3.9743264800015865
"https://www.google.com/maps/@-3.0716094509898797,-44.9640935682617,5000m/data=!3m1!1e3",im_0000000000-0000163072_55_ndwi,s2_4bands_2017_CplusMG_int16_0000000000-0000163072.tif,8940,8440,23285,22785,-44.98655145036469,-3.094067333092868,-44.94163568615872,-3.0491515688868915
"https://www.google.com/maps/@-2.9874373088678805,-44.79547978943247,5000m/data=!3m1!1e3",im_0000000000-0000186368_1_ndwi,s2_4bands_2017_CplusMG_int16_0000000000-0000186368.tif,8003,7503,1866,1366,-44.81793767153546,-3.0098951909708687,-44.773021907329486,-2.9649794267648923
"https://www.google.com/maps/@-3.0174410393574727,-43.97397046210517,5000m/data=!3m1!1e3",im_0000000000-0000186368_2_ndwi,s2_4bands_2017_CplusMG_int16_0000000000-0000186368.tif,8337,7837,11011,10511,-43.996428344208155,-3.0398989214604604,-43.95151258000218,-2.9949831572544845
